RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.71716667,-43.56655556,ENCONTRO COM A SORTE,24426,AV GEREMARIO DANTAS,22760401,RIO DE JANEIRO,7812-9737,undefined,21"
",-22.88725,-43.28697222,ENG DE DENTRO LOTERIAS,496,AV D HELDER CAMARA,20771001,RIO DE JANEIRO,3268-8801,undefined,21"
",-22.90075,-43.26772222,ENGENHO DA SORTE,13928,RUA SOUSA BARROS,20961150,RIO DE JANEIRO,98669-0980,undefined,21"
",-22.90277778,-43.2075,ESMERALDA DA SORTE,18437,AV VINTE DE JANEIRO,21941570,RIO DE JANEIRO,3398-3544,undefined,21"
",-22.90355556,-43.56094444,ESTAC. PARE PAG LTDA,2440,R AUGUSTO VASCONCELOS,23050340,RIO DE JANEIRO,3394-0370,undefined,21"
",-22.90277778,-43.2075,ESTACAO  DA SOTE,13635,RUA JOAQUIM PALHARES,20260080,RIO DE JANEIRO,2502-5642,undefined,21"
",-22.87305556,-43.45083333,ESTACAO BANGU LOTERIAS E BAZAR LTDA,14666,AV MINISTRO ARY FRANCO,21862005,RIO DE JANEIRO,2401-7729,undefined,21"
",-22.90277778,-43.2075,ESTACAO DA SORTE,13330,Pc Cristiano Otoni s/n lj 4 Est Fer,20221250,RIO DE JANEIRO,2518-0303,undefined,21"
",-22.82763889,-43.30458333,ESTRELA DA SORTE,2326,Estrada da Agua Grande,21230354,RIO DE JANEIRO,2473-7142,undefined,21"
",-22.96630556,-43.21875,ESTRELA DA SORTE,20095,RUA JARDIM BOTÂNICO,22470050,RIO DE JANEIRO,3114-0340,undefined,21"
",-22.90277778,-43.2075,ESTRELA LOTERIA,2316,Rua da Estrela,20251020,RIO DE JANEIRO,3972-1696,undefined,21"
",-22.91216667,-43.26761111,EXCELENTE LOTERIAS,412,RUA BARAO DO BOM RETIRO 1035,20715002,RIO DE JANEIRO,2281-0274,undefined,21"
",-22.88583333,-43.23222222,EXPRESSO DA SORTE,8330,RUA SAO JANUARIO,20921002,RIO DE JANEIRO,3890-0583,undefined,21"
",-22.87869444,-43.46336111,FAIM LOTERIAS LTDA-ME,2279,RUA SILVA CARDOSO,21810031,RIO DE JANEIRO,2401-7233,undefined,21"
",-22.91372222,-43.18258333,FATIMA TURF,360,RUA  RIACHUELO,20230011,RIO DE JANEIRO,2224-8431,undefined,21"
