RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.115,-43.20861111,CASA LOT TREVO DA SORTE TERESOPOLIS LTDA,13425,R ROBERTO SILVEIRA,25955050,TERESOPOLIS,2642-6817,undefined,21"
",-22.41602778,-42.97025,LOTERIA DA RODOVIARIA,3256,RUA DR WALDIR BARBOSA MOREIRA,25955010,TERESOPOLIS,2742-1348,undefined,21"
",-22.46527778,-43.09333333,LOTERIA DO ALTO,3316,AV OLIVEIRA BOTELHO,25961144,TERESOPOLIS,2642-7609,undefined,21"
",-22.4165,-42.97127778,LOTERIA SERRA DOS ORGAOS,7643,RUA TENENTE LUIZ MEIRELES,25955001,TERESOPOLIS,2742-3284,undefined,21"
",-22.41119444,-52.96819444,LOTERIA SERRANA DE TERESOPOLIS LTDA,3327,RUA FRANCISCO SA,25953011,TERESOPOLIS,2643-2028,undefined,21"
",-22.41052778,-42.96761111,PONTO LOT TERESOPOLI,3287,AV LUCIO MEIRA,undefined,25953003,TERESOPOLIS,2742-8842,undefined,21"
",-22.41236111,-42.96866667,PONTO LOTERICO VARZEA,3267,RUA OLEGARIO BERNARDES,25953060,TERESOPOLIS,2742-5139,undefined,21"
",-22.41361111,-42.96852778,SUPER SORTE DA BARRA,21674,AV PRESIDENTE ROOSEVELT,25966000,TERESOPOLIS,2641-7675,undefined,21"
",-22.27280556,-42.79461111,SUPER SORTE DE BONSUCESSO,21675,EST TERESOPOLIS FRIBURGO,25995290,TERESOPOLIS,2643-6347,undefined,21"
",-22.41916667,-42.95305556,SUPER SORTE DE SAO PEDRO,21673,RUA LUIZ NOGUET JUNIOR,25956210,TERESOPOLIS,undefined,undefined,undefined"
",-22.43419444,-42.94544444,SUPER SORTE DO MEUDOM,21672,AV MELVYN JONES,25954220,TERESOPOLIS,undefined,undefined,undefined"

NILOPOLIS - RJ
"-22.81677778,-43.41141667,A F 1000 LOT ESP LTD,3390,Rua Senador Salgado Filho,26510111,NILOPOLIS,2693-3007,undefined,21"
",-22.81044444,-43.42066667,BEIJA FLOR DA SORTE LTDA ME,3298,ESTRADA MIRANDELA,26520090,NILOPOLIS,2791-3170,undefined,21"
",-22.80872222,-43.41591667,LOT PONTE DE NILOPOL,3371,R Pf Alfredo G Filgueiras,26530110,NILOPOLIS,2691-8646,undefined,21"
",-22.80691667,-43.4135,LOTERIA MENA BARRETO LTDA,7819,ESTR GEN MENA BARRETO,26535330,NILOPOLIS,2791-6585,undefined,21"
",-22.81052778,-43.41525,LUZENTE 2000  LOT. E VIDEO,7638,R FREI LUDOLF,26510660,NILOPOLIS,3761-1398,undefined,21"
",-22.81975,-43.49444444,MINA DA SORTE,24360,ESTRADA ROBERTO SILVEIRA,26545770,NILOPOLIS,98801-0680,undefined,21"
",-22.80875,-43.41783333,SEBASTIAO DE CARLOS LOPES,3288,ESTRADA GETULIO VARGAS,26525010,NILOPOLIS,2693-7037,undefined,21"
",-21.757,-43.41566667,TUNEL DA SORTE LOTERIA,13057,ESTRADA CARMELA DUTRA,26530020,NILOPOLIS,3762-2224,undefined,21"
",-22.80694444,-43.41763889,WANDERLEY CARDOSO,18501,AV PEDRO ALVARES CABRAL,26525010,NILOPOLIS,2691-1599,undefined,21"
